chunk_id,model_id,name,category,path,section,text,tags
::summary,,---,cognitive,models/cognitive/anchoring-effect.md,Summary,"The tendency to rely heavily on the first piece of information encountered (the ""anchor"") when making decisions or estimates — subsequent judgments adjust from the anchor but rarely far enough.",judgment|numbers|negotiation|estimation|first-impression
::mechanism,,---,cognitive,models/cognitive/anchoring-effect.md,Mechanism,"1. A number, value, or piece of information is presented first 2. The mind uses this as a reference point 3. All subsequent estimates adjust from the anchor 4. Adjustments are systematically insufficient — the anchor pulls the final estimate toward it 5. The effect persists even when the anchor is arbitrary or irrelevant",judgment|numbers|negotiation|estimation|first-impression
::triggers,,---,cognitive,models/cognitive/anchoring-effect.md,Triggers,- First number seen in a negotiation or pricing context - Initial estimates made before full information is available - Leading questions that embed an assumed value - Time pressure reducing deliberate adjustment - Unfamiliar domains where no internal reference exists,judgment|numbers|negotiation|estimation|first-impression
::effects,,---,cognitive,models/cognitive/anchoring-effect.md,Effects,- Inflated or deflated estimates depending on anchor direction - Negotiation outcomes skewed toward the first offer - Salary anchoring from first offer or stated expectation - Overweighting initial product prices in perceived value - Biased legal sentencing when arbitrary numbers are mentioned,judgment|numbers|negotiation|estimation|first-impression
::examples,,---,cognitive,models/cognitive/anchoring-effect.md,Examples,"**Example 1 — Negotiation:** A seller lists a house at $600k. Even if buyers think it's worth less, final offers cluster far closer to $600k than they would if the listing had been $400k. **Example 2 — Arbitrary numbers:** Participants asked ""Is the population of Turkey greater or less than 35 million?"" then asked to estimate it — estimates cluster near 35 million, regardless of accuracy. **Example 3 — Salary:** An employer asks ""What is your current salary?"" — the answer anchors the negotiation even if the candidate is worth far more.",judgment|numbers|negotiation|estimation|first-impression
::counters,,---,cognitive,models/cognitive/anchoring-effect.md,Counters,"- Generate your own estimate before seeing any external number - Make the first offer in negotiations to set the anchor - Use multiple independent reference points to triangulate - Ask: ""what would I think if I hadn't seen that number first?""",judgment|numbers|negotiation|estimation|first-impression
::references,,---,cognitive,models/cognitive/anchoring-effect.md,References,"- Tversky, A., & Kahneman, D. (1974). Judgment under uncertainty: Heuristics and biases. *Science*, 185(4157), 1124–1131.",judgment|numbers|negotiation|estimation|first-impression
::summary,,---,cognitive,models/cognitive/availability-heuristic.md,Summary,Judging the likelihood of an event based on how easily an example comes to mind — rather than actual statistical frequency.,memory|probability|risk|judgment|shortcut
::mechanism,,---,cognitive,models/cognitive/availability-heuristic.md,Mechanism,"1. Person must estimate the probability or frequency of something 2. Instead of calculating, the mind asks: ""how easily can I recall an example?"" 3. Easily recalled = feels common or likely 4. Hard to recall = feels rare or unlikely 5. Judgment is based on retrieval ease, not actual data",memory|probability|risk|judgment|shortcut
::triggers,,---,cognitive,models/cognitive/availability-heuristic.md,Triggers,- Recent exposure to dramatic or emotional events - Media coverage of rare but vivid events - Personal experience with an outcome - High emotional salience of a category - Time pressure in decision-making,memory|probability|risk|judgment|shortcut
::effects,,---,cognitive,models/cognitive/availability-heuristic.md,Effects,"- Overestimation of dramatic but rare risks (plane crashes, shark attacks) - Underestimation of common but mundane risks (car accidents, heart disease) - Distorted risk assessments in policy, medicine, and investing - Fear-driven decisions after visible disasters - Recency bias in performance evaluation",memory|probability|risk|judgment|shortcut
::examples,,---,cognitive,models/cognitive/availability-heuristic.md,Examples,"**Example 1 — Flying vs driving:** After a plane crash in the news, people cancel flights — despite cars being statistically far more dangerous per mile. **Example 2 — Workplace safety:** A manager rates an employee's full-year performance based mostly on their most recent mistake because it's easiest to recall. **Example 3 — Crime perception:** People in low-crime areas who watch heavy crime news perceive their neighborhood as dangerous because violent crime is cognitively available.",memory|probability|risk|judgment|shortcut
