id,name,category,origin,summary,path,tags,related_names,related_paths,section_names
,---,cognitive,"Amos Tversky & Daniel Kahneman, 1974","The tendency to rely heavily on the first piece of information encountered (the ""anchor"") when making decisions or estimates — subsequent judgments adjust from the anchor but rarely far enough.",models/cognitive/anchoring-effect.md,judgment|numbers|negotiation|estimation|first-impression,Availability Heuristic|Loss Aversion,models/cognitive/availability-heuristic.md|models/decision/loss-aversion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,cognitive,"Amos Tversky & Daniel Kahneman, 1973",Judging the likelihood of an event based on how easily an example comes to mind — rather than actual statistical frequency.,models/cognitive/availability-heuristic.md,memory|probability|risk|judgment|shortcut,Confirmation Bias|Loss Aversion,models/cognitive/confirmation-bias.md|models/decision/loss-aversion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,cognitive,"Leon Festinger, 1957","The mental discomfort experienced when holding two contradictory beliefs, values, or behaviors simultaneously — driving the mind to resolve the tension by changing one of them.",models/cognitive/cognitive-dissonance.md,belief|conflict|rationalization|motivation|consistency,Confirmation Bias|Metacognition,models/cognitive/confirmation-bias.md|models/cognitive/metacognition.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,cognitive,"Peter Wason, 1960","The tendency to search for, interpret, and recall information in a way that confirms one's pre-existing beliefs while ignoring contradicting evidence.",models/cognitive/confirmation-bias.md,belief|perception|search|reasoning|information,Cognitive Dissonance|Availability Heuristic|Dunning-Kruger Effect,models/cognitive/cognitive-dissonance.md|models/cognitive/availability-heuristic.md|models/cognitive/dunning-kruger.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,cognitive,"David Dunning & Justin Kruger, 1999","People with low competence in a domain overestimate their ability, while highly competent people underestimate theirs — because the skills needed to evaluate performance are the same skills required to perform.",models/cognitive/dunning-kruger.md,competence|confidence|metacognition|learning|self-assessment,Confirmation Bias|Imposter Syndrome|Metacognition,models/cognitive/confirmation-bias.md|models/emotional/imposter-syndrome.md|models/cognitive/metacognition.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,cognitive,"Edward Thorndike, 1920","The halo effect occurs when one positive trait or impression causes people to assume unrelated positive qualities, distorting overall judgment.",models/cognitive/halo-effect.md,perception|judgment|bias|reputation|generalization,Authority Bias|Confirmation Bias|Anchoring Effect,models/social/authority-bias.md|models/cognitive/confirmation-bias.md|models/cognitive/anchoring-effect.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,cognitive,"John Flavell, 1976","Thinking about one's own thinking — the ability to monitor, evaluate, and regulate cognitive processes, leading to more accurate self-assessment and better learning outcomes.",models/cognitive/metacognition.md,self-awareness|learning|thinking|regulation|accuracy,Dunning-Kruger Effect|Imposter Syndrome|Confirmation Bias,models/cognitive/dunning-kruger.md|models/emotional/imposter-syndrome.md|models/cognitive/confirmation-bias.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,behavioral,"Ivan Pavlov, 1897","Classical conditioning is learning by association, where a previously neutral cue comes to trigger a response after repeated pairing with a meaningful stimulus.",models/behavioral/classical-conditioning.md,conditioning|association|learning|stimulus|behavior,Operant Conditioning|Habit Loop|Emotional Contagion,models/behavioral/operant-conditioning.md|models/behavioral/habit-loop.md|models/emotional/emotional-contagion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters|Related Models|References
,---,behavioral,"Charles Duhigg (popularized), based on MIT basal ganglia research, 1990s–2012",Habits are formed and maintained through a three-part neurological loop: cue → routine → reward — and can be changed by keeping the cue and reward while swapping the routine.,models/behavioral/habit-loop.md,habit|routine|reward|cue|behavior-change,Operant Conditioning,models/behavioral/operant-conditioning.md,Summary|Mechanism|Triggers|Effects|Examples|Counters / Application|Related Models|References
,---,behavioral,"B.F. Skinner, 1938",Behavior is shaped by its consequences — behaviors followed by rewards increase in frequency; behaviors followed by punishments decrease. The schedule of reinforcement determines how robust the behavior becomes.,models/behavioral/operant-conditioning.md,reward|punishment|reinforcement|learning|behavior-change,Habit Loop|Loss Aversion,models/behavioral/habit-loop.md|models/decision/loss-aversion.md,Summary|Mechanism|Triggers|Effects|Examples|Counters / Application|Related Models|References
